ID,Name,Formula,Ion Species,Mass (DB),CAS,CCS (DB),RT,SD,DT,SD,CCS,SD,m/z,SD,Abundance,RSD,Z,Ions,Freq.,Q Score,Sat.,Mark,NEG Media Blank01 DI2.d.HRdm, NEG Media Blank02 DI2.d.HRdm, NEG Media Blank03 DI2.d.HRdm, NEG QCdilution 0 0625 DI2.d.HRdm, NEG QCdilution 0 125 DI2.d.HRdm, NEG QCdilution 0 25 DI2.d.HRdm, NEG QCdilution 0 5 DI2.d.HRdm, NEG QCdilution 1 0 DI2.d.HRdm, NEG S1P DI2.d.HRdm, NEG S1S DI2.d.HRdm, NEG S2P DI2.d.HRdm, NEG S2S DI2.d.HRdm, NEG S3P DI2.d.HRdm, NEG S3S DI2.d.HRdm, NEG W1P DI2.d.HRdm, NEG W1S DI2.d.HRdm, NEG W2P DI2.d.HRdm, NEG W2S DI2.d.HRdm, NEG W3P DI2.d.HRdm, NEG W3S DI2.d.HRdm
1235,,,,,,,1.901,0.039,33.236,0.15,187.21,0.85,359.1925,0.0004,0.0003066,2.13,-1,2,4,80.5,,FALSE,0.001,158962.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,176468.6,0.001,0.001,0.001,0.001,0.001,310514.4,0.001,228727.3
1236,,,,,,,0.282,0.037,20.804,0.019,119.83,0.11,200.8586,0.0001,0.0003058,2.03,-1,2,5,99.7,,FALSE,0.001,0.001,0.001,0.001,0.001,157645.6,87250.54,0.001,136035.2,0.001,0.001,215419.3,83336.66,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1237,,,,,,,2.283,0.129,21.301,0.041,123.04,0.24,192.9118,0.0003,0.0003054,3.11,-1,2,2,82.4,,FALSE,0.001,0.001,0.001,0.001,276611.7,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,412502.1,0.001,0.001,0.001,0.001
1238,,,,,,,1.927,0.002,32.933,0.138,186.1,0.78,329.1823,0.0002,0.000304,3.67,-1,2,3,97,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,60826.39,67343.77,0.001,0.001,759857.4
1239,6'-Dehydro-6'-oxoparomamine,C12 H23 N3 O7,(M-H)-,321.1536,,,2.028,0.003,29.95,0.037,169.28,0.21,320.1456,0.0006,0.0003031,1.69,-1,2,6,100,,FALSE,0.001,0.001,148310.2,0.001,0.001,0.001,0.001,125298.6,0.001,0.001,0.001,187342.1,0.001,0.001,0.001,208950.9,33515.05,144203.5,0.001,0.001
1240,5-Hydroxy-2-acetamidofluorene,C15 H13 N O2,(M-H)-,239.0946,1147-55-3,,2.074,0.001,28.065,0.044,160.7,0.25,238.0881,0.0006,0.0003028,1.62,-1,2,6,100,,FALSE,126224.9,0.001,116057.5,0.001,0.001,0.001,78642.7,0.001,0.001,155946.3,128064,0.001,0.001,0.001,0.001,0.001,0.001,188588.5,0.001,0.001
1241,3-Hydroxy-4H-pyrid-4-one,C5 H5 N O2,(M-H)-,111.032,1121-23-9,,0.521,0.001,26.322,0.024,159.57,0.15,110.025,0.0001,0.0003024,2.45,-1,2,3,99.8,,FALSE,290863.8,295765.1,244563,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1242,,,,,,,1.822,0.001,33.779,0.108,190.04,0.62,373.2082,0.0002,0.0003011,1.68,-1,2,7,100,,FALSE,25072.81,124751.4,0.001,0.001,0.001,0.001,0.001,0.001,0.001,140370,0.001,155722.6,0.001,0.001,0.001,46607.69,0.001,118184.1,0.001,250720.3
1243,,,,,,,0.521,0.002,26.388,0.041,152.49,0.24,200.0563,0.0004,0.0003001,3.08,-1,2,2,100,,FALSE,0.001,393175.5,428612.7,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1244,,,,,,,2.504,0.002,36.73,0.043,204.92,0.24,503.1715,0.0007,0.0002995,1.62,-1,2,6,99.3,,FALSE,0.001,157599.8,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,143594.4,0.001,162276.7,0.001,142181.8,0.001,77359.45,0.001,171900.1
1245,Dioxacarb,C11 H13 N O4,(M-H)-,223.0845,6988-21-2,,1.354,0.006,26.468,0.038,152.03,0.22,222.0774,0.0003,0.0002992,2.11,-1,2,4,100,,FALSE,0.001,0.001,195647.5,0.001,0.001,0.001,0.001,0.001,0.001,203494.8,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,111440.6,304988.1
1246,,,,,,,2.605,0.002,37.866,0.07,211.49,0.4,487.2194,0.0012,0.0002974,1.25,-1,2,9,99.6,,FALSE,100093.6,0.001,0.001,0.001,0.001,0.001,59291.12,133722,0.001,0.001,0.001,117649.7,31445.78,0.001,0.001,124237.2,40646.96,82749,0.001,125477.3
1247,Cilazprilat,C20 H27 N3 O5,(M-H)-,389.1951,90139-06-3,,1.087,0.002,33.722,0.094,189.46,0.53,388.1867,0.0005,0.0002957,1.29,-1,2,9,100,,FALSE,60442.43,0.001,0.001,0.001,0.001,0.001,0.001,123639,0.001,44829.33,79084.08,121862.5,21281.61,126803.1,0.001,0.001,0.001,114351.8,70664.26,0.001
1248,Isopropalin,C15 H23 N3 O4,(M-H)-,309.1689,33820-53-0,,2.801,0.003,31.066,0.022,175.92,0.13,308.1613,0.0004,0.0002955,1.57,-1,2,6,97.6,,FALSE,122367.5,142888.1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,130877.2,0.001,0.001,0.001,137176.4,0.001,159265,0.001,0.001,0.001,150072.5
1249,Desmethylzopiclone,C16 H15 Cl N6 O3,(M-H)-,374.0894,59878-63-6,,3.111,0.018,37.19,0.027,209.41,0.15,373.0817,0.0003,0.0002953,2.53,-1,2,3,90.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,206409.7,0.001,0.001,0.001,211641.7,0.001,0.001,198354.7,0.001,0.001
1250,,,,,,,0.585,0.011,21.498,0.014,123.45,0.08,212.9116,0.0001,0.000294,3.31,-1,2,2,93.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,579998.6,253994.7,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1251,[6]-Gingerdiol 5-O-beta-D-glucopyranoside,C23 H38 O9,(M-H)-,458.2516,,,1.536,0.003,37.376,0.23,209.11,1.3,457.244,0.0005,0.0002932,2.07,-1,2,4,100,,FALSE,0.001,241690,0.001,0.001,0.001,0.001,0.001,189211,195373.1,0.001,0.001,0.001,0.001,0.001,106711.1,0.001,0.001,0.001,0.001,0.001
1252,Fosaprepitant,C23 H22 F7 N4 O6 P,(M-H)-,614.1165,172673-20-0,,1.227,0.061,40.049,0.044,222.53,0.25,613.1103,0.0003,0.0002931,2.76,-1,3,4,90.1,,FALSE,0.001,0.001,0.001,0.001,262279.7,124470.9,0.001,0.001,0.001,0.001,58577.27,0.001,0.001,0.001,0.001,0.001,27894.13,0.001,0.001,0.001
1253,Ethyl heptanoate,C9 H18 O2,(M-H)-,158.1307,106-30-9,,0.377,0.002,24.928,0.01,146.36,0.06,157.1232,0.0004,0.0002913,3.1,-1,2,2,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,432404.1,0.001,0.001,0.001,0.001,0.001,0.001,213189.9,0.001,0.001,0.001,0.001,0.001
1254,,,,,,,1.253,0.004,39.572,0.048,220.41,0.27,550.1859,0.0007,0.0002906,1.18,-1,2,9,100,,FALSE,69669.9,0.001,56867.09,0.001,0.001,0.001,0.001,113367.6,0.001,98268.66,86089.17,0.001,84203.45,0.001,0.001,98454.7,0.001,0.001,49368.62,112472.2
1255,,,,,,,0.851,0.01,26.916,0.093,153.82,0.54,245.1037,0.0001,0.0002904,3.08,-1,2,2,99.9,,FALSE,0.001,0.001,0.001,0.001,0.001,208131.8,345208.6,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1256,,,,,,,2.387,0.002,34.411,0.073,193.05,0.41,408.1764,0.001,0.0002893,1.49,-1,2,7,100,,FALSE,0.001,0.001,124780,0.001,0.001,0.001,38858.35,92540.22,0.001,0.001,0.001,152934.1,0.001,107982.2,0.001,163916.7,0.001,130459.9,0.001,0.001
1257,Trifluoroacetic Acid,C2 H F3 O2,(M-H)-,113.9929,3336-58-1,,1.257,,30.614,,185.39,,112.9853,,0.0002893,4.47,-1,2,1,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,798963.8,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1258,Feruloylputrescine,C14 H20 N2 O3,(M-H)-,264.1474,501-13-3,,0.97,0.002,28.972,0.049,165.11,0.28,263.1402,0.0003,0.0002869,2.08,-1,2,4,93.7,,FALSE,0.001,0.001,182994,0.001,0.001,0.001,0.001,232803.3,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,162979.3,0.001,235559.9
1259,Isoleucyl-Threonine,C10 H20 N2 O4,(M-H)-,232.1423,,,1.332,0.007,27.797,0.122,159.4,0.71,231.1345,0.0002,0.0002866,3.5,-1,3,3,91.6,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,53344.61,0.001,0.001,0.001,0.001,0.001,73003.45,0.001,0.001,681040.1
1260,,,,,,,2.196,0.002,31.384,0.02,177.63,0.11,313.1153,0.0003,0.0002865,1.78,-1,2,5,100,,FALSE,0.001,141350.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,152045.1,0.001,0.001,0.001,159688.4,0.001,184203.8,0.001,0.001,0.001,185761.3
1261,"N,N-Diethylglycine",C6 H13 N O2,(M-H)-,131.0946,,,1.07,0.002,24.07,0.014,143.46,0.08,130.0877,0.0001,0.0002864,2.45,-1,2,3,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,268709.4,0.001,0.001,0.001,0.001,0.001,0.001,0.001,277940.6,0.001,0.001,0.001,296383
1262,,,,,,,3.332,0.09,28.292,0.032,158.58,0.18,395.8657,0.0009,0.0002857,3.57,-1,2,4,82.4,,FALSE,0.001,0.001,0.001,414605.7,0.001,0.001,67319.28,0.001,33160.38,0.001,36302.7,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1263,,,,,,,2.992,0.012,24.9,0.037,141.05,0.21,288.9082,0.0001,0.0002854,3.14,-1,2,2,100,,FALSE,0.001,0.001,0.001,0.001,271722.7,0.001,274581.8,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1264,"N-Methyl-2,3,7,8-tetramethoxy-5,6-dihydrobenzophenathridine-6-ethanoic acid",C24 H25 N O6,(M-H)-,423.1682,,,0.985,0.001,35.274,0.078,197.73,0.44,422.1571,0.0006,0.0002852,2.08,-1,2,5,98.4,,FALSE,85446.7,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,289788,0.001,60465.78,0.001,232337.2,0.001,0.001,106458.5,0.001
1265,,,,,,,1.159,0.002,45.965,0.08,254.6,0.44,755.3042,0.0006,0.0002832,1.4,-1,3,10,100,,FALSE,0.001,0.001,32878.47,0.001,0.001,0.001,0.001,28461.72,0.001,80583.59,78309.87,181187.8,21105.75,12780.65,0.001,116755.4,0.001,136126.6,0.001,94240.34
1266,Lactose,C12 H22 O11,(M-H)-,342.1162,64044-51-5,176.8,2.483,0,31.288,0.096,176.48,0.54,341.108,0.0005,0.0002831,2.52,-1,2,3,96.4,,FALSE,0.001,0.001,0.001,0.001,143993.3,0.001,291980.8,0.001,0.001,0.001,150480.1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1267,,,,,,,1.61,0.011,39.207,0.073,219.22,0.41,473.138,0.0007,0.0002828,1.3,-1,3,9,100,,FALSE,0.001,0.001,70667.19,0.001,0.001,0.001,0.001,93462.66,49624.38,95975.91,131829.6,0.001,0.001,72421.86,24058.1,96186.34,0.001,0.001,0.001,111378
1268,Threoninyl-Serine,C7 H14 N2 O5,(M-H)-,206.0903,,,2.116,0.003,34.37,0.143,198.86,0.83,205.0823,0.0001,0.0002827,1.89,-1,2,5,100,,FALSE,167893,0.001,167278.2,0.001,0.001,0.001,0.001,0.001,0.001,116480.3,0.001,235197.5,0.001,0.001,0.001,0.001,0.001,0.001,0.001,105742.3
1269,Narciclasine,C14 H13 N O7,(M-H)-,307.0692,29477-83-6,,0.525,0.004,28.533,0.036,161.49,0.21,306.0597,0.0027,0.0002807,2.7,-1,2,3,98,,FALSE,382622.5,0.001,288354.7,0.001,0.001,0.001,93172.38,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1270,,,,,,,1.317,0.004,29.727,0.042,167.87,0.24,327.0285,0.0004,0.0002807,2.13,-1,3,5,96.8,,FALSE,0.001,0.001,42301.14,0.001,0.001,0.001,0.001,0.001,89655.37,142250.6,0.001,286537.3,0.001,0.001,0.001,0.001,0.001,225154.6,0.001,0.001
1271,2-Propylmalate,C7 H12 O5,(M-H)-,176.0685,,,2.616,0.071,22.506,0.036,130.94,0.21,175.0614,0.0001,0.0002795,3.4,-1,2,2,88.3,,FALSE,0.001,0.001,0.001,366072.4,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,156761.9,0.001
1272,Anisotine,C20 H19 N3 O3,(M-H)-,349.1426,16688-19-0,,0.363,0.002,31.325,0.083,176.55,0.47,348.134,0.0008,0.0002788,1.16,-1,2,10,100,,FALSE,90112.88,74077.95,0.001,0.001,0.001,0.001,0.001,87460.97,32499.82,94185.59,0.001,79415.22,0.001,0.001,0.001,106058.8,11345.53,86194.88,0.001,127760
1273,,,,,,,2.42,0.002,46.989,0.104,260.18,0.58,776.3201,0.0009,0.0002776,0.89,-1,3,13,100,,FALSE,40377.41,75025.87,63036.2,0.001,0.001,0.001,15311.17,64847.68,0.001,38866.56,46895.97,99565.56,0.001,61351.44,0.001,102980.7,0.001,68886.89,27997.41,49489.98
1274,Tridiphane,C10 H7 Cl5 O,(M-H)-,317.894,58138-08-2,,1.247,0.079,26.258,0.022,148.26,0.13,316.8895,0.0003,0.0002774,2.39,-1,3,4,93.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,66663.95,0.001,0.001,120104.4,0.001,315098,0.001,0.001,214733.8,0.001,0.001,0.001,0.001
1275,3-Hydroxyhexobarbital,C12 H16 N2 O4,(M-H)-,252.111,,,1.338,0.003,28.176,0.045,160.9,0.26,251.1039,0.0004,0.0002769,1.61,-1,2,6,100,,FALSE,151751,160106.7,131622.3,0.001,0.001,0.001,0.001,100848.3,0.001,0.001,0.001,0.001,0.001,0.001,0.001,134471,0.001,0.001,0.001,106147
1276,,,,,,,1.182,0.101,23.102,0.002,131.95,0.01,238.9128,0.0003,0.0002766,3.38,-1,2,3,89.3,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,91205.86,0.001,0.001,339611.3,0.001,0.001,0.001,73240.77,0.001
1277,,,,,,,0.478,0.058,26.525,0.034,151.26,0.2,254.9059,0.0001,0.000276,2.58,-1,2,4,96.8,,FALSE,107803.4,0.001,125573.7,0.001,0.001,215672,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,78602.08,0.001,0.001,0.001
1278,Salicylate,C7 H6 O3,(M-H)-,138.0317,69-72-7,119.8,0.38,0.131,20.253,0.028,119.88,0.17,137.0265,0.0002,0.0002758,3.03,-1,2,3,83,,FALSE,0.001,0.001,389681.3,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,11814,0.001,0.001,266685.3,0.001
1279,,,,,,,3.146,0.066,32.294,0.028,182.92,0.16,309.0614,0.0002,0.0002754,2.67,-1,2,3,96.7,,FALSE,199557.7,0.001,0.001,0.001,0.001,0.001,0.001,159997.6,0.001,0.001,0.001,397629.6,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1280,Flumetover,C19 H20 F3 N O3,(M-H)-,367.1395,154025-04-4,,2.232,0.002,32.261,0.024,181.55,0.14,366.1334,0.0002,0.0002753,1.93,-1,2,5,99.9,,FALSE,160243.9,0.001,0.001,0.001,0.001,0.001,0.001,144795.3,0.001,0.001,39484.04,189229.3,0.001,207404.8,0.001,0.001,0.001,0.001,0.001,0.001
1281,,,,,,,0.382,0.002,51.464,0.139,284.72,0.77,845.425,0.002,0.0002745,2.12,-1,2,6,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,94962.87,0.001,22435.68,0.001,81350.56,0.001,41714.18,0.001,103077.6,0.001,239656,0.001
1282,,,,,,,1.443,0.004,41.157,0.103,228.72,0.58,615.1298,0.0018,0.0002736,1.64,-1,3,7,96.7,,FALSE,0.001,85462.98,66958.52,0.001,0.001,0.001,0.001,88345.18,0.001,0.001,25276.85,206113.5,0.001,0.001,0.001,127999,0.001,163617.5,0.001,0.001
1283,alpha-Allokainic acid,C10 H15 N O4,(M-H)-,213.1001,4071-39-0,,1.644,0.004,26.193,0.044,150.83,0.26,212.0904,0.0002,0.0002733,2.61,-1,2,3,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,344353.2,95252.78,322123.4
1284,,,,,,,0.229,0.001,46.608,0.076,258.6,0.42,693.3951,0.0015,0.0002731,2.14,-1,2,6,95.2,,FALSE,28191,0.001,0.001,40145.54,0.001,0.001,86040.02,0.001,0.001,0.001,0.001,0.001,38898.96,0.001,160349.4,0.001,172864.8,0.001,0.001,0.001
1285,Phlorin,C12 H16 O8,(M-H)-,288.0845,28217-60-9,,1.612,0.072,28.004,0.042,158.9,0.24,287.0803,0.0005,0.000273,1.2,-1,3,11,93.4,,FALSE,50639.18,129681.5,77546.52,0.001,0.001,0.001,0.001,36174.35,64875.96,79870.57,0.001,141434.4,47992.52,0.001,0.001,25238.78,16317.34,0.001,53563.3,0.001
1286,,,,,,,2.128,0.004,40.978,0.07,227.83,0.39,601.2975,0.0011,0.000271,1.65,-1,2,6,99.3,,FALSE,0.001,136799.2,0.001,0.001,0.001,0.001,0.001,0.001,0.001,122914.7,0.001,0.001,60408.92,117007.1,0.001,208021.9,0.001,117914.1,0.001,0.001
1287,"2-Amino-7,8-dihydro-4-hydroxy-6-(diphosphooxymethyl)pteridine",C7 H11 N5 O8 P2,(M-H)-,355.0083,,,2.111,0.004,29.413,0.016,165.57,0.09,353.9982,0.0009,0.0002706,2.62,-1,2,3,96.9,,FALSE,0.001,0.001,0.001,85534.76,156075,180107.6,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1288,Pentahomomethionine,C10 H21 N O2 S,(M-H)-,219.1293,,,1.474,0.007,26.28,0.01,151.09,0.06,218.1232,0.0002,0.0002705,2.55,-1,2,3,82.4,,FALSE,347369.8,0.001,0.001,0.001,0.001,0.001,0.001,173939.4,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,245916.6
1289,Purine,C5 H4 N4,(M-H)-,120.0436,120-73-0,114.6,0.984,0.003,19.17,0.032,114.82,0.19,119.0367,0.0003,0.0002703,3.61,-1,2,2,89.8,,FALSE,0.001,0.001,157862.1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,527575.3,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1290,D-Pantothenic acid,C9 H17 N O5,(M-H)-,219.1107,79-83-4,,1.593,0.001,36.112,0.12,208.27,0.7,218.1043,0.0006,0.0002699,2.79,-1,2,3,84.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,302840.1,0.001,0.001,265685.2,0.001,0.001,0.001,0.001,60919.57,0.001
1291,,,,,,,2.651,0.029,30.91,0.044,174.5,0.25,332.1457,0.0002,0.0002694,2.46,-1,2,3,81.3,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,227719.1,204676,0.001,268881.2,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1292,,,,,,,2.483,0.001,41.946,0.04,233.03,0.22,628.3018,0.0007,0.0002693,1.59,-1,2,6,99.7,,FALSE,150158.7,118594.8,0.001,0.001,0.001,0.001,0.001,94940.52,0.001,111361.3,0.001,125563.4,0.001,0.001,0.001,0.001,0.001,0.001,0.001,152902.4
1293,N6-Methyl-2'-deoxyadenosine,C11 H15 N5 O3,(M-H)-,265.1175,2002-35-9,,1.541,0.002,27.829,0.074,158.51,0.43,264.1098,0.0002,0.0002692,3.09,-1,2,2,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,342836.6,0.001,359413.8,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1294,(S)-ATPA,C10 H16 N2 O4,(M-H)-,228.111,,,1.467,0.172,27.82,0.125,159.69,0.73,227.1035,0.0002,0.0002687,2.81,-1,2,4,98.3,,FALSE,0.001,441014.2,126776.7,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,68256.02,0.001,0.001,0.001,0.001,0.001,99535.43,0.001,0.001
1295,Benzyl beta-primeveroside,C18 H26 O10,(M-H)-,402.1526,130622-31-0,,1.781,0.003,33.819,0.036,189.81,0.2,401.1459,0.0004,0.0002681,1.53,-1,2,7,100,,FALSE,0.001,94486.84,83536.04,0.001,0.001,0.001,0.001,0.001,0.001,65361.57,0.001,0.001,0.001,65397.66,0.001,201770.4,0.001,122572.7,0.001,144826.6
1296,,,,,,,1.011,0.004,34.288,0.048,192.77,0.27,382.1975,0.0003,0.0002675,2.25,-1,2,4,100,,FALSE,0.001,68760.31,0.001,0.001,0.001,0.001,0.001,162561.3,0.001,0.001,0.001,0.001,0.001,0.001,0.001,269716.7,0.001,0.001,0.001,289787.6
1297,,,,,,,2.263,0.003,31.714,0.018,179.42,0.1,317.1349,0.0006,0.0002659,1.78,-1,2,5,82.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,106108.1,0.001,0.001,130906.6,0.001,179177.8,0.001,146317.8,0.001,180458.5
1298,1-Pyrroline-4-hydroxy-2-carboxylate,C5 H7 N O3,(M-H)-,129.0426,,,2.677,0.002,27.675,0.064,165.45,0.38,128.0348,0.0001,0.0002652,2.68,-1,2,3,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,356418.2,98010.4,0.001,0.001,300795.1,0.001,0.001,0.001,0.001
1299,"17-Hydroxy-3-oxo-17alpha-pregna-1,4-diene-21-carboxylic acid, gamma-lactone",C22 H28 O3,(M-H)-,340.2038,,,0.23,0.002,31.175,0.033,175.88,0.19,339.1987,0.0003,0.0002651,2.8,-1,2,3,100,,FALSE,80758.15,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,227901.8,0.001,184075.1,0.001,0.001,0.001
1300,"N,N-Dimethylglycine Ethyl Ester",C6 H13 N O2,(M-H)-,131.0946,33229-89-9,,2.609,0.001,28.562,0.05,170.57,0.3,130.0874,0.0003,0.000265,2.09,-1,2,4,100,,FALSE,0.001,0.001,220422.1,0.001,0.001,0.001,0.001,0.001,0.001,191233.8,0.001,0.001,114717.7,0.001,0.001,0.001,0.001,199322.3,0.001,0.001
1301,,,,,,,2.533,0.004,35.938,0.099,201.16,0.56,445.2276,0.0003,0.0002649,2.48,-1,2,3,82.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,183759.6,0.001,0.001,221125.6,257056.1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1302,2-Ethylhexyl-4-hydroxybenzoate,C15 H22 O3,(M-H)-,250.1569,5153-25-3,,0.23,0.002,28.765,0.027,164.37,0.16,249.1495,0.0004,0.0002644,2.48,-1,2,4,100,,FALSE,0.001,0.001,75037.6,0.001,0.001,0.001,0.001,342743.1,0.001,94682.7,0.001,0.001,0.001,0.001,123379.6,0.001,0.001,0.001,0.001,0.001
1303,,,,,,,2.475,0.002,39.525,0.07,219.69,0.39,601.2193,0.0008,0.000264,1.3,-1,2,8,100,,FALSE,50043.34,92669.95,98373.86,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100702.1,0.001,93581.96,0.001,111904.2,0.001,75245.95,0.001,130911.9
1304,Biotin sulfone,C10 H16 N2 O5 S,(M-H)-,276.078,40720-05-6,,1.985,0.001,39.552,0.094,225.57,0.54,275.0699,0.0001,0.0002639,1.77,-1,3,6,100,,FALSE,135339.6,82330.42,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100006.5,221264.2,45729.07,0.001,0.001,0.001,0.001,0.001,0.001,119804.2
1305,,,,,,,2.484,0.003,32.687,0.024,182.86,0.13,441.0326,0.0004,0.0002637,1.38,-1,3,8,100,,FALSE,0.001,45335.41,0.001,0.001,0.001,0.001,0.001,0.001,0.001,111258.8,88555.4,151485.5,0.001,87360.53,0.001,100150,0.001,0.001,36908.52,84304.77
1306,,,,,,,3.219,0.135,25.82,0.047,145.84,0.27,312.9075,0.0001,0.0002621,3.51,-1,2,3,83.7,,FALSE,0.001,0.001,0.001,65048.68,327261.9,0.001,51000.91,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1307,3-(Pyrazol-1-yl)-L-alanine,C6 H9 N3 O2,(M-H)-,155.0695,10162-27-3,,2.932,0.025,28.669,0.001,168.84,0,154.0621,0.0007,0.0002617,3.13,-1,2,2,98.5,,FALSE,429811.2,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,203225.3,0.001,0.001,0.001
1308,,,,,,,2.124,0.001,37.087,0.108,207.68,0.61,442.2291,0.0003,0.0002604,1.1,-1,2,10,100,,FALSE,60792.11,0.001,77643.59,0.001,0.001,0.001,0.001,84682.28,0.001,80948.37,89776.13,78623.73,40400.95,54625.62,0.001,59804.54,0.001,0.001,0.001,71741.05
1309,Caribenolide I,C33 H52 O11,(M-H)-,624.351,,,1.633,0.001,44.019,0.3,244.67,1.68,623.3386,0.0002,0.0002592,2.06,-1,2,5,100,,FALSE,0.001,0.001,35880.01,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,121942.1,0.001,256309.4,0.001,0.001,99600.02,156875.5,0.001,0.001
1310,CAI-1,C13 H26 O2,(M-H)-,214.1933,,,0.327,0.002,27.471,0.04,158.23,0.23,213.1862,0.0003,0.0002591,2.82,-1,2,3,97,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,111659.4,404558.2,0.001,169676.2,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1311,Glutaminyl-Isoleucine,C11 H21 N3 O4,(M-H)-,259.1532,,,1.775,0.001,39.322,0.091,224.93,0.52,258.1452,0.0002,0.0002589,2.34,-1,2,4,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,34787.31,291786.5,0.001,179514,0.001,0.001,0.001,0.001,0.001,215312.1
